,loss,accuracy,lr
0,880.6149291992188,0.0,0.0004999981611035764
1,878.2518920898438,0.0,0.0004999962984584272
2,876.080078125,0.0,0.000499994435813278
3,874.0774536132812,0.0,0.0004999925149604678
4,872.2200317382812,0.0,0.0004999906523153186
5,870.460693359375,0.0,0.0004999887314625084
6,868.7175903320312,0.0,0.0004999868688173592
7,866.890869140625,0.0,0.00049998500617221
8,864.8967895507812,0.0,0.0004999831435270607
9,862.6869506835938,0.0,0.0004999812226742506
10,860.2471313476562,0.0,0.0004999793600291014
11,857.5916748046875,0.0,0.0004999774973839521
12,854.7590942382812,0.0,0.0004999756347388029
13,851.8098754882812,0.0,0.0004999737138859928
14,848.8228759765625,0.0,0.0004999718512408435
15,845.8848266601562,0.0,0.0004999699303880334
16,843.0711059570312,0.0,0.0004999680677428842
17,840.4232177734375,0.0,0.0004999662050977349
18,837.9410400390625,0.0,0.0004999643424525857
19,835.6055908203125,0.0,0.0004999624215997756
20,833.4183349609375,0.0,0.0004999605589546263
21,831.4207763671875,0.0,0.0004999586963094771
22,829.683349609375,0.0,0.000499956775456667
23,828.27783203125,0.0,0.0004999549128115177
24,827.2516479492188,0.0,0.0004999530501663685
25,826.6122436523438,0.0,0.0004999511293135583
26,826.3258666992188,0.0,0.0004999492666684091
27,826.3275146484375,0.0,0.0004999474040232599
28,826.535400390625,0.0,0.0004999455413781106
29,826.865234375,0.0,0.0004999436205253005
30,827.2407836914062,0.0,0.0004999417578801513
31,827.600830078125,0.0,0.000499939895235002
32,827.9015502929688,0.0,0.0004999379743821919
33,828.11669921875,0.0,0.0004999361117370427
34,828.2354125976562,0.0,0.0004999342490918934
35,828.2586669921875,0.0,0.0004999323282390833
36,828.1959228515625,0.0,0.0004999304655939341
37,828.0621337890625,0.0,0.0004999286029487848
38,827.8748779296875,0.0,0.0004999267403036356
39,827.6527709960938,0.0,0.0004999248194508255
40,827.4136352539062,0.0,0.0004999229568056762
41,827.173828125,0.0,0.000499921094160527
